,date,open,close,high,low,volume,code
90,2019-07-17,31.13,31.11,31.48,30.8,106047.0,300014
91,2019-07-18,30.98,30.75,31.26,30.55,73309.0,300014
92,2019-07-19,30.85,30.84,31.82,30.73,149633.0,300014
93,2019-07-22,30.8,29.96,30.8,29.5,162919.0,300014
94,2019-07-23,30.12,31.13,31.58,30.07,222640.0,300014
95,2019-07-24,31.4,31.16,31.77,30.86,175880.0,300014
96,2019-07-25,31.2,30.89,31.27,29.78,251428.0,300014
97,2019-07-26,30.77,30.6,30.89,30.23,113775.0,300014
98,2019-07-29,30.75,30.35,30.85,29.82,115281.0,300014
99,2019-07-30,30.56,32.66,32.8,30.56,317452.0,300014
100,2019-07-31,32.58,31.55,32.78,31.3,213271.0,300014
101,2019-08-01,31.3,31.12,31.66,30.81,147091.0,300014
102,2019-08-02,30.02,29.96,30.48,29.18,234043.0,300014
103,2019-08-05,29.72,29.3,30.51,29.28,128844.0,300014
104,2019-08-06,28.89,29.69,30.11,28.05,206840.0,300014
105,2019-08-07,30.04,29.15,30.07,29.09,99148.0,300014
106,2019-08-08,29.5,29.52,29.64,29.06,90227.0,300014
107,2019-08-09,29.71,29.57,30.6,29.22,126081.0,300014
108,2019-08-12,29.65,30.07,30.1,29.25,89467.0,300014
109,2019-08-13,29.75,30.42,31.14,29.63,131824.0,300014
110,2019-08-14,31.12,31.62,32.15,30.92,203573.0,300014
111,2019-08-15,30.88,31.7,31.77,30.78,141088.0,300014
112,2019-08-16,32.2,33.93,34.63,32.2,400272.0,300014
113,2019-08-19,34.0,34.18,34.55,33.6,306602.0,300014
114,2019-08-20,33.4,32.28,33.4,31.98,396670.0,300014
115,2019-08-21,32.5,32.91,33.42,32.2,198565.0,300014
116,2019-08-22,33.49,33.65,34.41,33.49,188112.0,300014
117,2019-08-23,33.89,35.0,35.84,33.36,284845.0,300014
118,2019-08-26,33.99,35.5,36.1,33.52,220183.0,300014
119,2019-08-27,35.5,35.36,35.86,34.88,175184.0,300014
120,2019-08-28,35.15,34.7,35.17,34.1,144557.0,300014
121,2019-08-29,35.0,35.45,35.87,34.6,113971.0,300014
122,2019-08-30,35.45,35.99,36.63,35.0,165704.0,300014
123,2019-09-02,38.0,39.59,39.59,37.99,161444.0,300014
124,2019-09-03,41.0,41.69,42.4,40.6,359746.0,300014
125,2019-09-04,41.91,42.11,42.35,40.9,222003.0,300014
126,2019-09-05,41.9,40.75,42.2,40.65,290265.0,300014
127,2019-09-06,40.76,40.8,41.5,40.25,166555.0,300014
128,2019-09-09,41.5,43.85,44.6,41.46,302301.0,300014
